FPGA,CART,SPKR,VDEO,LEFT,RGHT,QSPI,JTAG
F2,,,2,,,,
E1,,,3,,,,
E2,,,4,,,,
D1,,,7,,,,
D2,,,8,,,,
C1,,,9,,,,
C2,,,10,,,,
B1,,,11,,,,
B2,,,12,,,,
A2,,,13,,,,
B3,,,14,,,,
A3,,,15,,,,
B4,,,16,,,,
A4,,,18,,,,
B5,,,19,,,,
A5,,,20,,,,
A6,,,21,,,,
C5,,,22,,,,
B7,,,23,,,,
A7,,,24,,,,
C7,,,25,,,,
D7,,,26,,,,
K4,,,,1,,,
K3,,,,2,,,
K1,,,,3,,,
K2,,,,4,,,
L1,,,,5,,,
M1,,,,6,,,
M2,,,,7,,,
K13,,1 SPKDIN,,,,,
K14,,16 SPKBCLK,,,,,
K16,,14 SPKLRC,,,,,
E17,,,,,9,,
E16,,,,,10,,
E18,,,,,7,,
G16,,,,,8,,
F18,,,,,5,,
G17,,,,,3,,
H18,,,,,1,,
P7,2,,,,,,
P6,3,,,,,,
R7,4,,,,,,
V7,5,,,,,,
U7,6,,,,,,
R6,7,,,,,,
V6,8,,,,,,
U6,9,,,,,,
T6,10,,,,,,
V5,11,,,,,,
R5,12,,,,,,
T5,13,,,,,,
V4,14,,,,,,
V3,15,,,,,,
T4,16,,,,,,
U3,17,,,,,,
V2,18,,,,,,
R3,19,,,,,,
U2,20,,,,,,
T2,21,,,,,,
U1,22,,,,,,
T1,23,,,,,,
R2,24,,,,,,
R1,25,,,,,,
P2,26,,,,,,
P1,27,,,,,,
N4,28,,,,,,
N3,29,,,,,,
N2,30,,,,,,
N1,31,,,,,,
M13,,,,,,1,
K18,,,,,,2,
L14,,,,,,3,
K17,,,,,,5,
C8,,,,,,6,
M15,,,,,,7,
T9,,,,,,,2
D9,,,,,,,4
T8,,,,,,,5
R9,,,,,,,6
